Aid Category,Correlation with Frontline Movement
Financial,0.061200410301432105
Aviation and drones,0.004265651986471352
Uncategorised,-0.0008696493196527091
Heavy weapon,-0.021737014748369546
Military equipment,-0.062141689099151035
Portable defence system,-0.11050738741256624
Humanitarian,-0.24805981796954873
