date,area_sq_km,percent_of_ukraine
2022-02-21,44363.1531318365,7.350369171044073
2022-02-28,43688.66302973587,7.238615364052005
2022-03-07,42651.869184838106,7.066832770249045
2022-03-14,41751.61745298705,6.917673341560277
2022-03-21,40485.90918022034,6.707962750430012
2022-03-28,40546.8971890771,6.718067631360633
2022-04-04,38883.80009067158,6.4425151339030045
2022-04-11,38657.93586082223,6.405092512769817
2022-04-18,38270.573066256504,6.340911782993373
2022-04-25,38044.52549790442,6.303458785171803
2022-05-02,36982.75218830957,6.127537434895132
2022-05-09,37861.24271523748,6.27309132884392
2022-05-16,38488.481959888544,6.3770163134601185
2022-05-23,38924.98646488261,6.449339154151704
2022-05-30,40063.81244961111,6.638027081370411
2022-06-06,40717.74007271929,6.746373966153472
2022-06-13,41527.47223513719,6.880535537260739
2022-06-20,42015.86483782073,6.961455527764183
2022-06-27,42461.84953009502,7.035349106137854
2022-07-04,42990.253480553496,7.122898431041919
2022-07-11,43754.74862108181,7.249564844848283
2022-07-18,44123.36215859631,7.31063907855129
2022-07-25,44763.748299922416,7.416742324566716
2022-08-01,45135.883609625715,7.4784000678693925
2022-08-08,45414.33842433307,7.524536231353338
2022-08-15,45658.30885652214,7.5649588031682775
2022-08-22,46396.545297872704,7.687274508801707
2022-08-29,46941.686694887816,7.777597000229942
2022-09-05,47241.51621090408,7.827274660078549
2022-09-12,47354.71997166815,7.84603097865432
2022-09-19,47623.5942253923,7.890579773903123
2022-09-26,48050.237192109395,7.96126869225572
2022-10-03,48224.872270156426,7.990203341919713
2022-10-10,48811.43990241178,8.08738959529646
2022-10-17,49215.19018679601,8.154285508540472
2022-10-24,49911.17529502649,8.269600744764558
2022-10-31,50244.98008006287,8.324907643122007
2022-11-07,50229.657735863904,8.32236893975046
2022-11-14,51062.992027046195,8.460441061560136
2022-11-21,51376.16793148385,8.51233003586842
2022-11-28,51624.86473632064,8.553535703143176
2022-12-05,52185.78300698981,8.646472207271943
2022-12-12,52479.918837595455,8.695206501134198
2022-12-19,53174.358541590576,8.810265684962403
2022-12-26,53312.9627462593,8.833230510522624
2023-01-02,53257.33268518768,8.824013368434708
2023-01-09,53567.89137706236,8.875468706331267
2023-01-16,53554.8776658316,8.873312511942938
2023-01-23,53659.879466446284,8.890709877631727
2023-01-30,54044.801242388705,8.954486163928209
2023-02-06,54835.084731073315,9.08542535516085
2023-02-13,54963.00714904778,9.106620354411032
2023-02-20,55302.917405346285,9.162938846051908
2023-02-27,55484.548883397,9.19303270373573
2023-03-06,55513.57060489466,9.197841207007649
2023-03-13,55550.49041732594,9.20395831618357
2023-03-20,56021.75506152633,9.282040437664872
2023-03-27,56295.35726719076,9.327372590040719
2023-04-03,56615.60988837688,9.380434079757581
2023-04-10,56632.7127262175,9.383267786632011
2023-04-17,56922.06571358626,9.431209628628325
2023-04-24,56912.71408284358,9.429660191010452
2023-05-01,55999.3492669364,9.278328103212061
2023-05-08,55962.52886965583,9.272227465770165
2023-05-15,56198.60751034096,9.311342475410648
2023-05-22,56855.36268066204,9.420157846187067
2023-05-29,57549.01942327391,9.535087303997003
2023-06-05,57393.28095246171,9.509283564321384
2023-06-12,57612.388715655594,9.545586731116824
2023-06-19,58825.694952647646,9.746615019906825
2023-06-26,59082.261071383604,9.789124525123619
2023-07-03,59873.0340258917,9.920144814164807
2023-07-10,60547.35697658772,10.031870926449791
2023-07-17,61365.383389131544,10.167406741633924
2023-07-24,61566.298852798514,10.200695692618426
2023-07-31,61910.17203055667,10.25767078627399
2023-08-07,62278.821896424866,10.31875103908953
2023-08-14,62370.26300289085,10.333901582783673
2023-08-21,63040.611050121086,10.444969107799036
2023-08-28,63317.09177505049,10.490778191541793
2023-09-04,62881.798081617024,10.418655965805158
2023-09-11,62985.71530008757,10.435873631030995
2023-09-18,63306.75081091886,10.489064834880102
2023-09-25,63657.78145683708,10.54722582335135
2023-10-02,63890.69399140843,10.58581625240799
2023-10-09,64282.63852457257,10.650756113755707
2023-10-16,64445.51525112005,10.677742565010364
2023-10-23,65258.2192638528,10.812396531166067
2023-10-30,65821.8555328486,10.905783370532449
2023-11-06,65759.77001781242,10.895496647802572
2023-11-13,65913.13053955136,10.920906393762134
2023-11-20,65926.80930841193,10.923172779125496
2023-11-27,66363.54585906693,10.995534066617004
2023-12-04,66623.16726329102,11.038549790952038
2023-12-11,66776.98773392408,11.064035744167686
2023-12-18,67339.62362308882,11.157256834245517
2023-12-25,67969.07059784449,11.26154760961718
2024-01-01,68133.49494440791,11.28879048039233
2024-01-08,68228.19225061442,11.304480531955003
2024-01-15,68584.07042486215,11.363444689729459
2024-01-22,68855.207262444,11.408368364252174
2024-01-29,68999.1262752075,11.432213780997017
2024-02-05,69312.8759284697,11.484197817657146
2024-02-12,69528.54734418288,11.519931628561492
2024-02-19,69358.82500790515,11.49181095317789
2024-02-26,69513.89204262692,11.517503445054581
2024-03-04,69625.89437182157,11.536060702811959
2024-03-11,69751.19487938921,11.556821287281783
2024-03-18,69829.85769272088,11.569854642154068
2024-03-25,69895.29314425691,11.58069640365453
2024-04-01,70146.55355044668,11.622326824695001
2024-04-08,70378.89533818437,11.660822688788729
2024-04-15,70348.30001120867,11.6557534605598
2024-04-22,70609.10284495133,11.698964931646314
2024-04-29,70369.93781900695,11.659338550079854
2024-05-06,70729.43862307785,11.718902928187862
2024-05-13,70834.4340503103,11.736299237894176
2024-05-20,71070.66901200783,11.775440147793525
2024-05-27,71191.97580423772,11.795539028123224
2024-06-03,71084.85107392873,11.777789921949918
2024-06-10,71338.31117253723,11.819784802010973
2024-06-17,71475.96691151382,11.842592479747134
2024-06-24,71251.14393893344,11.805342380736219
2024-07-01,71179.80685901998,11.793522799937037
2024-07-08,71227.72911001688,11.801462863063024
2024-07-15,71437.56494587092,11.836229798006945
2024-07-22,71628.12053856449,11.867802259724048
2024-07-29,71698.60916241807,11.879481262930671
2024-08-05,71833.98900357023,11.90191185545029
2024-08-12,72256.19392613928,11.971865450441435
2024-08-19,72323.82291895336,11.983070651802395
2024-08-26,71321.25416505308,11.816958688601288
2024-09-02,70999.12404200449,11.76358612244296
2024-09-09,71438.09260860029,11.836317224521627
2024-09-16,71174.20363261137,11.792594421773071
2024-09-23,71686.23738557896,11.877431428312313
2024-09-30,71748.34361599933,11.887721583298703
2024-10-07,73109.44790950633,12.113237993456437
2024-10-14,73705.15708415053,12.21193887567733
2024-10-21,74048.69317325919,12.268858118343003
2024-10-28,74489.69412258231,12.341925958509206
2024-11-04,74782.04854926167,12.390365098046836
2024-11-11,75011.62149916062,12.428402203489458
2024-11-18,75954.86332115959,12.584684503547278
2024-11-25,76063.4852119803,12.602681668789712
2024-12-02,76176.40983828518,12.621391738594182
2024-12-09,76686.9424077953,12.705980019517074
2024-12-16,76247.8480382134,12.633228073600101
2024-12-23,76182.52641239227,12.622405171467529
2024-12-30,76014.02761275225,12.59448721941053
2025-01-06,76053.6774007913,12.601056648296133
2025-01-13,76256.94052681352,12.634734574900758
2025-01-20,75419.65382999348,12.496007593404602
2025-01-27,75536.86801796287,12.515428385048939
2025-02-03,75978.93818722539,12.588673380370373
2025-02-10,75775.51410383625,12.554968785326196
2025-02-17,75885.92691138422,12.573262681034581
2025-02-24,76539.21313655717,12.681503294931185
