category,dtw_distance
Heavy weapon,0.12355498578556914
Uncategorised,0.7412232425587904
Aviation and drones,1.0020769063162336
Total aid,1.0739311607965496
Portable defence system,1.3139387739526922
Humanitarian,1.4459416002892302
Financial,1.5741443049397104
Military equipment,1.5882420948867328
