week_start,area_sq_km,percent_of_ukraine
2022-02-21,44361.049139544004,7.350020568228648
2022-02-28,43545.05771027024,7.214821922006501
2022-03-07,42644.36044396961,7.065588674338431
2022-03-14,41769.23248198433,6.920591911520889
2022-03-21,40510.00736200544,6.711955490349671
2022-03-28,40574.46700222437,6.722635573229123
2022-04-04,38904.116729676694,6.445881323780416
2022-04-11,38537.55171740546,6.385146502759582
2022-04-18,38178.506247540165,6.325657567316736
2022-04-25,37950.848794282065,6.287937833531947
2022-05-02,36975.33923205248,6.126309209187719
2022-05-09,37834.79568209792,6.268709416303193
2022-05-16,38432.07163239533,6.3676698918723105
2022-05-23,38878.89872297803,6.441703044151774
2022-05-30,40014.78331210511,6.629903622252524
2022-06-06,40674.51306941825,6.739211841507456
2022-06-13,41392.65372478484,6.858197949595699
2022-06-20,42092.10375576191,6.9740872762425505
2022-06-27,42357.555859579974,7.018069067944656
2022-07-04,43099.02110953352,7.140919743108859
2022-07-11,43759.11169451302,7.250287746584876
2022-07-18,44191.385666379116,7.3219096456597
2022-07-25,44796.818969125394,7.4222216832284635
2022-08-01,45242.15774665808,7.496008242342486
2022-08-08,45543.03654541608,7.5458597540247005
2022-08-15,45780.561115419725,7.585214334424609
2022-08-22,46519.463103104645,7.707640312004746
2022-08-29,46616.726485229236,7.7237555273348075
2022-09-05,47326.00539050719,7.841273364345487
2022-09-12,47365.888973626505,7.847881529885925
2022-09-19,47719.67662589677,7.906499316692366
2022-09-26,47795.55291676603,7.919070982812697
2022-10-03,48230.29878275799,7.991102441016981
2022-10-10,48894.21664362428,8.101104571887047
2022-10-17,49384.38169922982,8.18231823365584
2022-10-24,49931.78727449746,8.273015868527455
2022-10-31,50080.43735310518,8.29764515833074
2022-11-07,50283.817568639875,8.331342485069982
2022-11-14,51106.00811950802,8.467568241157819
2022-11-21,51438.3801680457,8.522637754626079
2022-11-28,51859.39978234573,8.592394960209715
2022-12-05,52231.40304847974,8.654030825694598
2022-12-12,52564.066577581325,8.709148633515255
2022-12-19,53148.15436090939,8.805924009760483
2022-12-26,53361.89992681321,8.841338733628234
2023-01-02,53359.20348908876,8.84089197068822
2023-01-09,53554.53404908643,8.873255579336664
2023-01-16,53685.473778604355,8.894950505940576
2023-01-23,53804.03181202417,8.914593954440257
2023-01-30,53980.570868946845,8.94384406742554
2023-02-06,54866.10610647288,9.090565173800494
2023-02-13,55013.67285905576,9.115014971262656
2023-02-20,55359.50717329172,9.172314998474313
2023-02-27,55359.92307768256,9.172383908157162
2023-03-06,55419.58032787905,9.182268300535009
2023-03-13,55850.09984367384,9.253599510177093
2023-03-20,56101.26085079497,9.29521346214812
2023-03-27,56266.701837416724,9.322624776309622
2023-04-03,56694.13835285099,9.39344517485726
2023-04-10,55439.77201458259,9.185613787520932
2023-04-17,56097.98106880507,9.294670047022628
2023-04-24,55674.45653456336,9.224497810382463
2023-05-01,55627.80508968161,9.216768302490532
2023-05-08,55979.55355389036,9.275048223658414
2023-05-15,56225.88656481371,9.315862242533958
2023-05-22,57314.75857027831,9.496273476974288
2023-05-29,58370.06182896299,9.671122828094274
2023-06-05,57447.31086798315,9.518235584124456
2023-06-12,57601.1344278373,9.543722049181891
2023-06-19,58789.954048018284,9.740693239668342
2023-06-26,59416.98565001555,9.84458382072994
2023-07-03,59837.204293334325,9.914208316350646
2023-07-10,60732.52940678486,10.062551471590565
2023-07-17,61312.35242470763,10.158620234397752
2023-07-24,61547.501073727006,10.197581157108276
2023-07-31,61781.52164827599,10.236355173270812
2023-08-07,62162.64270421767,10.299501732121229
2023-08-14,62331.30857336013,10.32744736531524
2023-08-21,62929.84468853443,10.426616633010427
2023-08-28,63281.25860143365,10.484841123591028
2023-09-04,63050.07257087676,10.446536752692696
2023-09-11,62844.216313981,10.412429179683706
2023-09-18,63272.12776736141,10.483328268968837
2023-09-25,63668.542686128756,10.549008812215849
2023-10-02,63812.29170685348,10.572826063599285
2023-10-09,64517.64117503503,10.689692846497396
2023-10-16,64527.79168152355,10.69137464692628
2023-10-23,65511.085970208485,10.854293094227236
2023-10-30,65812.29333455529,10.904199044744477
2023-11-06,65955.1023053475,10.92786054268039
2023-11-13,66017.09988931176,10.938132696431408
2023-11-20,66028.8447762788,10.94007866395142
2023-11-27,66363.67433008214,10.995555352511332
2023-12-04,66919.02106817238,11.087568729711272
2023-12-11,67063.4056597522,11.111491286513495
2023-12-18,67213.21298320715,11.136312315998202
2023-12-25,67861.95121965489,11.243799390217031
2024-01-01,68086.77598364413,11.28104978603995
2024-01-08,68177.17430363226,11.296027554242775
2024-01-15,68666.83092480252,11.377156975362857
2024-01-22,68760.24426164376,11.392634290720531
2024-01-29,69223.0452478508,11.46931409955278
2024-02-05,69413.77103944076,11.500914760904774
2024-02-12,69443.90401889617,11.505907384457984
2024-02-19,69363.03496909581,11.492508486305328
2024-02-26,69359.07441905729,11.491852277202765
2024-03-04,69586.51392695242,11.529535900414617
2024-03-11,69622.42944713637,11.535486612067993
2024-03-18,69754.57304528411,11.557381003277957
2024-03-25,69985.48011631946,11.59563915438977
2024-04-01,70059.31353422505,11.607872344333535
2024-04-08,70246.33074236149,11.6388585440082
2024-04-15,70304.57057600717,11.648508089803194
2024-04-22,70498.32039478516,11.680609791199595
2024-04-29,70519.32595811617,11.684090126437937
2024-05-06,70568.50359393425,11.692238189699983
2024-05-13,70684.31819729986,11.711427089271785
2024-05-20,71038.41454276427,11.7700960223286
2024-05-27,71082.88630317165,11.777464386243334
2024-06-03,71020.34433586612,11.767102035600384
2024-06-10,71246.35717486347,11.804549279241732
2024-06-17,71377.23905186802,11.826234620473535
2024-06-24,71202.65327678772,11.797308139638426
2024-07-01,71080.95726368517,11.777144770720763
2024-07-08,71068.37277129998,11.775059692038768
2024-07-15,71290.01743505317,11.811783188642726
2024-07-22,71688.53852218502,11.877812695250602
2024-07-29,71826.80119534663,11.900720933700047
2024-08-05,71951.51605972217,11.921384485083616
2024-08-12,72084.02835889388,11.943339965022595
2024-08-19,72546.30966595633,12.01993367011123
2024-08-26,71144.43125932831,11.78766154574241
2024-09-02,71027.59513288272,11.768303393734193
2024-09-09,71165.50325193832,11.791152887405902
2024-09-16,71167.4763104585,11.791479796281749
2024-09-23,71285.04310307134,11.810959009704472
2024-09-30,71327.83125875247,11.818048423287626
2024-10-07,73233.94989025332,12.133866272927401
2024-10-14,73172.70299578799,12.123718498183745
2024-10-21,73691.7586417431,12.209718936582405
2024-10-28,73936.11174137918,12.250204911172096
2024-11-04,74172.91652806531,12.28944023329721
2024-11-11,74593.40992953752,12.359110252595066
2024-11-18,75079.975558542,12.439727538487617
2024-11-25,75218.91033951535,12.462747136031041
2024-12-02,74966.01624102617,12.420846034467099
2024-12-09,75161.39282228114,12.453217268209947
2024-12-16,75200.06675055384,12.459625010447162
2024-12-23,75336.4551580953,12.482222708656334
2024-12-30,75447.02767305374,12.500543065703546
2025-01-06,75276.98536798426,12.472369375856891
2025-01-13,74916.76993696744,12.412686593814504
2025-01-20,75078.66498718316,12.439510394695247
2025-01-27,74307.35005122707,12.311714033837639
2025-02-03,74632.20412506569,12.365537921475552
2025-02-10,74839.28060324883,12.39984766850283
2025-02-17,74875.60577382898,12.405866253637475
2025-02-24,75908.39493187873,12.576985325470755
