week_start,area_sq_km,percent_of_ukraine
2022-02-28,145735.07001788152,24.146312653115984
2022-03-07,283023.4394221037,46.89312226362417
2022-03-14,246002.08230581594,40.75918851889917
2022-03-21,92939.78971555026,15.398855060152474
2022-03-28,61970.20758518425,10.267617858534381
2022-04-04,218661.0640779341,36.229154846812044
2022-04-11,137911.79908242536,22.850103401942732
2022-04-18,114977.72549214086,19.050240326756832
2022-04-25,145657.00736112497,24.133378735999496
2022-05-02,200336.8432456069,33.193081475537554
2022-05-09,91365.66683322549,15.138044376311074
2022-05-16,202069.4486805652,33.48015055597136
2022-05-23,176418.45180477807,29.230130362816347
2022-05-30,201400.04990020575,33.369240311524436
2022-06-06,190538.47636327916,31.569625774712804
2022-06-13,124898.53745535086,20.69398350680985
2022-06-20,111255.63565368035,18.433540825727835
2022-06-27,55331.33108318641,9.167646604786084
2022-07-04,202701.74925787657,33.58491413435119
2022-07-11,130389.32440846953,21.60373198715426
2022-07-18,193447.4571430152,32.05160419899183
2022-07-25,171039.32395100518,28.33888227172648
2022-08-01,101790.74366739298,16.865337365154996
2022-08-08,181904.41989847508,30.139080423904414
2022-08-15,75869.02861328585,12.570462863604648
2022-08-22,44072.23902607545,7.302168673030478
2022-08-29,99622.35282630494,16.506064588899832
2022-09-05,268719.24280106695,44.52311205385916
2022-09-12,22839.382890894332,3.78417411828255
2022-09-19,175232.82814351498,29.033688699116063
2022-09-26,310849.8542706907,51.503579532878916
2022-10-03,53385.413188979925,8.845234560347928
2022-10-10,102163.96604407618,16.927175220624004
2022-10-17,233204.320272102,38.63877396605119
2022-10-24,259580.08866005618,43.00887890979308
2022-10-31,70393.09837372001,11.663175937986914
2022-11-07,259050.6658804014,42.92116077879238
2022-11-14,339391.38454354677,56.23252167070611
2022-11-21,57985.363538108926,9.607383570227642
2022-11-28,111282.56279755727,18.438002286066983
2022-12-05,101335.25845603207,16.789869680396333
2022-12-12,94120.92757278112,15.594553487330149
2022-12-19,56251.429749272145,9.320094399680581
2022-12-26,411024.79725642817,68.10120077150661
2023-01-02,58494.21019584036,9.691692518571843
2023-01-09,212081.43739582234,35.13900047979825
2023-01-16,248412.4047969757,41.15854606859013
2023-01-23,67107.7021651958,11.118830613071959
2023-01-30,341485.5320205882,56.57949333453536
2023-02-06,245755.1320970459,40.71827223876164
2023-02-13,244393.4450957494,40.49265928187381
2023-02-20,103973.6394939762,17.22701341959675
2023-02-27,137178.7014572738,22.728639128038076
2023-03-06,70070.83949931362,11.609782039485314
2023-03-13,79467.4187207562,13.166667007001276
2023-03-20,387232.90051269945,64.15920810416692
2023-03-27,166866.8910723957,27.647567073547457
2023-04-03,359899.71255688224,59.63047180132255
2023-04-10,59235.75224794187,9.814555918804055
2023-04-17,106924.77141523072,17.715975712903774
2023-04-24,64937.07129584241,10.75918669469678
2023-05-01,65439.38051938669,10.842412479394696
2023-05-08,61229.831088406434,10.144947574916152
2023-05-15,82021.92316139744,13.589913538463664
2023-05-22,70044.9934423106,11.605499700490531
2023-05-29,78926.23514499984,13.077000272554029
2023-06-05,179059.0648902919,29.6676439218444
2023-06-12,218697.685965801,36.235222593952614
2023-06-19,174436.41078657404,28.901733209605506
2023-06-26,185199.5756036346,30.68504276425062
2023-07-03,109962.41872271207,18.21927242526917
2023-07-10,144062.00369522697,23.869108391223094
2023-07-17,66123.62234410063,10.95578201376864
2023-07-24,190355.33324079774,31.53928145817211
2023-07-31,108164.50108731615,17.92138200436023
2023-08-07,193394.84734517196,32.042887473311566
2023-08-14,66141.70386666324,10.958777875348066
2023-08-21,190251.3788127669,31.522057627829824
2023-08-28,167262.08029041463,27.713044534904252
2023-09-04,94326.53422197662,15.628619703748923
2023-09-11,66214.428371147,10.970827333468147
2023-09-18,189242.30451081833,31.354867784080575
2023-09-25,83782.46521808351,13.881611335942923
2023-10-02,85654.25184544297,14.191740840931649
2023-10-09,166762.02474716492,27.630192154281325
2023-10-16,134412.21836676405,22.2702706265867
2023-10-23,54954.15367560575,9.105153454660881
2023-10-30,91280.16386423817,15.12387770097559
2023-11-06,97994.30642489449,16.236319513693065
2023-11-13,81159.52119060901,13.447025298750562
2023-11-20,94354.73655395496,15.633292445357464
2023-11-27,65593.15748328593,10.867891224138171
2023-12-04,62914.84039897552,10.424130626953113
2023-12-11,100316.00736484685,16.62099368152545
2023-12-18,67442.59200082938,11.174317289508636
2023-12-25,77329.85603994613,12.812502036276385
2024-01-01,163217.36931882732,27.042891114046448
2024-01-08,101648.14212922358,16.841710235974414
2024-01-15,138757.62364325934,22.990244991013064
2024-01-22,161185.30258896324,26.70620538297792
2024-01-29,82437.46360930348,13.658762920935047
2024-02-05,160829.69837416807,26.64728661654678
2024-02-12,63627.25320301029,10.542167708228032
2024-02-19,105759.163532993,17.522850390687267
2024-02-26,89290.37735308005,14.794197225263863
2024-03-04,87798.8554173884,14.547072391249838
2024-03-11,90483.40269160355,14.991865245895708
2024-03-18,160845.98587119934,26.64998523257383
2024-03-25,66161.94943673527,10.962132290072947
2024-04-01,122223.82309111649,20.250819831184906
2024-04-08,55725.04342119531,9.232879367276167
2024-04-15,128445.26554183662,21.281627958219968
2024-04-22,168768.09377802792,27.962570421345028
2024-04-29,189342.67042814285,31.37149704716144
2024-05-06,102679.18230175915,17.01253952477163
2024-05-13,179919.70328318793,29.810239960763475
2024-05-20,157083.883217016,26.026656153925277
2024-05-27,65769.36657183185,10.897086665865602
2024-06-03,64834.57502136243,10.742204460502432
2024-06-10,176852.1005052768,29.30198003566843
2024-06-17,109424.54268080031,18.130153704051082
